"filename", "language", "TypeScript", "JSON with Comments", "CSS", "TypeScript JSX", "JSON", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\konta\repos\02-react-projects\world-wise\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\konta\repos\02-react-projects\world-wise\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 0, 9, 28
"c:\Users\konta\repos\02-react-projects\world-wise\data\cities.json", "JSON", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 40
"c:\Users\konta\repos\02-react-projects\world-wise\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\konta\repos\02-react-projects\world-wise\package-lock.json", "JSON", 0, 0, 0, 0, 10595, 0, 0, 0, 0, 1, 10596
"c:\Users\konta\repos\02-react-projects\world-wise\package.json", "JSON", 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"c:\Users\konta\repos\02-react-projects\world-wise\src\App.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\AppNav.module.css", "CSS", 0, 0, 24, 0, 0, 0, 0, 0, 1, 4, 29
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\AppNav.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\BackButton.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\Button.module.css", "CSS", 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\Button.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\City.module.css", "CSS", 0, 0, 40, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\City.tsx", "TypeScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 12, 68
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\CityItem.module.css", "CSS", 0, 0, 46, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\CityItem.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\CityList.module.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\CityList.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\CountryItem.module.css", "CSS", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\CountryItem.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\CountryList.module.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\CountryList.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\Footer.module.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\Form.module.css", "CSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\Form.tsx", "TypeScript JSX", 0, 0, 0, 111, 0, 0, 0, 0, 2, 19, 132
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\Logo.module.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\Logo.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\Map.module.css", "CSS", 0, 0, 31, 0, 0, 0, 0, 0, 1, 7, 39
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\Map.tsx", "TypeScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 0, 9, 86
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\Message.module.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\Message.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\PageNav.module.css", "CSS", 0, 0, 29, 0, 0, 0, 0, 0, 1, 5, 35
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\PageNav.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
